optimizer,normalizer,mode,steps_per_sec,learner_updates_per_sec,warmup_seconds,run_seconds,n_steps,feature_dim,batch_size,stream,device,error
LMS,none,scan,32904.31589152655,32904.31589152655,0.9732856249902397,0.6078230000566691,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
LMS,none,batched,24127.56728336129,193020.53826689033,1.6765411670785397,0.8289273330010474,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
LMS,EMA,scan,29694.11720411024,29694.11720411024,0.6359054171480238,0.6735340829472989,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
LMS,EMA,batched,19830.163728931202,158641.30983144962,1.3069506660103798,1.0085645420476794,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
LMS,Welford,scan,31695.608063740976,31695.608063740976,0.5221500829793513,0.6310022498946637,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
LMS,Welford,batched,19418.07506611802,155344.60052894417,1.011146416887641,1.0299682090990245,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
LMS,StreamingBatch,scan,29251.60498257476,29251.60498257476,0.7879543339367956,0.6837231670506299,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
LMS,StreamingBatch,batched,14438.026879012048,115504.21503209638,1.0304274591617286,1.3852308329660445,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
IDBD,none,scan,8559.105141210737,8559.105141210737,0.9076455000322312,2.3366928750183433,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
IDBD,none,batched,13343.676158131933,106749.40926505547,2.9623239578213543,1.4988373341038823,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
IDBD,EMA,scan,28911.30508826083,28911.30508826083,0.8355170828290284,0.6917709158733487,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
IDBD,EMA,batched,17210.688160202353,137685.50528161883,1.0482907921541482,1.1620685828384012,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
IDBD,Welford,scan,36916.61081590025,36916.61081590025,0.6476937080733478,0.5417615419719368,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
IDBD,Welford,batched,15741.195849000535,125929.56679200428,1.7103084998670965,1.2705515001434833,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
IDBD,StreamingBatch,scan,28049.604077329855,28049.604077329855,0.8313886669930071,0.7130225419532508,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
IDBD,StreamingBatch,batched,13821.096727317215,110568.77381853772,1.321937708882615,1.4470631668809801,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
Autostep,none,scan,24899.67634435369,24899.67634435369,0.6813412080518901,0.8032232918776572,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
Autostep,none,batched,15489.722589621964,123917.78071697571,1.2040194999426603,1.2911787079647183,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
Autostep,EMA,scan,22103.087607858128,22103.087607858128,0.8079692090395838,0.9048509581480175,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
Autostep,EMA,batched,14464.089653807547,115712.71723046037,1.4037012909539044,1.3827347920741886,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
Autostep,Welford,scan,27723.759758932953,27723.759758932953,0.7422669171355665,0.7214028751477599,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
Autostep,Welford,batched,14032.943799556899,112263.55039645519,1.2028652499429882,1.425217708107084,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
Autostep,StreamingBatch,scan,22894.852850146082,22894.852850146082,0.8820537498686463,0.8735587920527905,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
Autostep,StreamingBatch,batched,10120.266719381774,80962.1337550542,1.2800851669162512,1.9762325000483543,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
Adam,none,scan,24377.02480632283,24377.02480632283,0.850858457852155,0.820444667013362,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
Adam,none,batched,15391.354522107456,123130.83617685965,1.307743958197534,1.2994307922199368,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
Adam,EMA,scan,25068.338641280738,25068.338641280738,0.8655014580581337,0.7978191250003874,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
Adam,EMA,batched,15443.737170771641,123549.89736617313,1.9592603750061244,1.2950233339797705,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
Adam,Welford,scan,19732.661075825054,19732.661075825054,0.768207416171208,1.0135480421595275,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
Adam,Welford,batched,4123.046905734749,32984.37524587799,2.295063375029713,4.850781583925709,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
Adam,StreamingBatch,scan,13978.95647914191,13978.95647914191,2.2872088339645416,1.4307219590991735,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
Adam,StreamingBatch,batched,14361.886138090005,114895.08910472004,1.790151875000447,1.3925747501198202,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
RMSprop,none,scan,24814.93997570006,24814.93997570006,0.7203715420328081,0.8059660841245204,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
RMSprop,none,batched,15471.543141789884,123772.34513431907,1.2097016668412834,1.2926958750467747,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
RMSprop,EMA,scan,24250.942702301236,24250.942702301236,1.0476261670701206,0.824710207991302,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
RMSprop,EMA,batched,12785.360936865503,102282.88749492403,2.066082292003557,1.5642890410963446,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
RMSprop,Welford,scan,24874.549379012642,24874.549379012642,1.3681197920814157,0.8040346659254283,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
RMSprop,Welford,batched,13039.709503080476,104317.6760246438,1.804229916073382,1.5337764997966588,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
RMSprop,StreamingBatch,scan,17631.65640382155,17631.65640382155,1.0484745830763131,1.1343233750667423,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
RMSprop,StreamingBatch,batched,11039.937499834079,88319.49999867263,1.8983849580399692,1.8116044588387012,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
NADALINE,none,scan,18646.67918117136,18646.67918117136,0.8396950410678983,1.0725770420394838,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
NADALINE,none,batched,9721.944290109479,77775.55432087583,1.9510356248356402,2.057201666990295,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
NADALINE,EMA,scan,22142.27936637045,22142.27936637045,0.9083836248610169,0.9032493750564754,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
NADALINE,EMA,batched,9691.109416773634,77528.87533418907,1.6776253329589963,2.0637472078669816,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
NADALINE,Welford,scan,15725.166546433826,15725.166546433826,0.9131087500136346,1.2718466250225902,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
NADALINE,Welford,batched,10166.134549360584,81329.07639488467,1.894935459131375,1.967316082911566,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
NADALINE,StreamingBatch,scan,15598.406046999891,15598.406046999891,0.9387678331695497,1.2821822909172624,20000,20,1,AlbertaPlanStep1Stream,cpu:0,
NADALINE,StreamingBatch,batched,9264.299939167307,74114.39951333846,2.273388833971694,2.158824749989435,20000,20,8,AlbertaPlanStep1Stream,cpu:0,
